"Table S2. Selected publications from Web of Science searches associated with research topics. Please see the Table S1 and the full-text article (Leigh et al., ""Ecological research and management of intermittent rivers: an historical review and future directions"", published in Freshwater Biology) for details of search topics and selection criteria. Formatting of the entries matches that of the output from Web of Science searches; the authors of the present study are not responsible for any associated errors in publications details or style.",,,,,,,,,,,,,,,,,,,,
Associated search(es),Publication year,Author(s),Title,Abstract,Source,Volume,Issue,Special issue,Start page,End page,Article number,Digital Object Identifier (DOI),Book Digital Object Identifier (DOI),Conference title,Conference date,Conference sponsors,Conference location,International Standard Serial Number (ISSN),International Standard Book Number (ISBN),Accession number
Biogeochemistry,2002,"Kozlowski, TT",Physiological-ecological impacts of flooding on riparian forest ecosystems,"Riparian forest ecosystems are important for their high productivity of biomass, their biodiversity, and ecological services including control of floods and erosion, removal of nutrients from agricultural runoff, alleviation of pollution effects, and as habitats for birds and mammals. Intermittent cycles of flooding by meandering streams followed by soil drainage are essential for regeneration, optimal growth, preservation of biodiversity, and sustainability of these valuable ecosystems. The straightening of river channels and disruption of intermittent river flow by dams lead to decreases in downstream forest productivity and ecological services, reflecting arrested forest regeneration, suppression of tree growth, and early tree mortality. These responses result from inadequate seed supplies and poor seedbeds, as well as deficiencies of ground water and mineral nutrients. Water deficits in downstream forest trees induce dysfunctions in photosynthesis and mineral nutrition, which lead to growth inhibition and plant mortality. Very few bottomland forest species can withstand extended soil inundation. Hence, prolonged upstream flooding by interruption of river flow is followed by massive losses of biomass as a result of poor seed germination, arrested plant growth, and accelerated mortality of trees. The adverse impacts of flooding on upstream forests are associated with physiological dysfunctions induced by soil anaerobiosis. These include changes in respiration, photosynthesis, protein synthesis, mineral nutrition, and hormone relations, together with increased exposure to a variety of phytotoxic compounds. There is urgent need for developing more integrated and holistic flood-management policies that will recognize the need for protecting and restoring valuable riparian forests while also meeting other flood-control objectives.",WETLANDS,22,3,,550,561,,10.1672/0277-5212(2002)022[0550:PEIOFO]2.0.CO;2,,,,,,0277-5212,,WOS:000178600900011
Invertebrate,2002,"Kuhne, WW; Caldwell, CA; Gould, WR; Fresquez, PR; Finger, S",Effects of depleted uranium on the health and survival of Ceriodaphnia dubia and Hyalella azteca,"Depleted uranium (DU) has been used as a substitute for the fissionable enriched uranium component of atomic weapons tested at Los Alamos National Laboratory (LANL) (Los Alamos, NM, USA) since the early 1950s, resulting in considerable concentrations of DU in the soils within the test sites. Although the movement of DU into major aquatic systems has been shown to be minimal, there are many small-order ephemeral streams and areas of standing water in canyons throughout LANL that may be affected by inputs of DU via runoff, erosion, and leaching. Ninety-six-hour acute and 7-d chronic toxicity assays were conducted to measure the toxicity of DU on survival and reproduction of Ceriodaphnia dabia. A 14-d water-only assay was conducted to measure survival and growth of Hyalella azteca. The estimated median lethal concentration (LC50) to produce 50% mortality of the test population for the 96-h Ceriodaphnia dubia assay was 10.50 mg/L. Reproductive effects occurred at a lowest-observable-effect concentration greater than or equal to3.91 mg/L with a no-observable-effect concentration of 1.97 mg/L. The estimated 14-d LC50 for the Hyalella azteca assay was 1.52 mg/L. No significant relationship was detected between growth and DU concentrations. Concentrations at which toxicity effects were observed in this study for both invertebrates exceeded concentrations of total uranium observed in runoff from LANL lands. Thus, it is likely that current runoff levels of uranium do not pose a threat to the these types of aquatic invertebrates.",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,21,10,,2198,2203,,10.1897/1551-5028(2002)021<2198:EODUOT>2.0.CO;2,,,,,,0730-7268,,WOS:000178153300025
Invertebrate,2002,"Lytle, DA",Flash floods and aquatic insect life-history evolution: Evaluation of multiple models,"In disturbance ecology there is a tension between ecological and evolutionary viewpoints, because while disturbances often cause mortality in populations (an ecological effect), populations may also evolve mechanisms that ameliorate mortality risk (an evolutionary effect). Flash floods cause high mortality in the juvenile aquatic stage of desert stream insects, but these ecological effects may be mitigated by the evolution of life-history strategies that allow the terrestrial adult stage to avoid floods. Life-history theory predicts that, to balance trade-offs between juvenile growth and mortality risk from floods, (1) most individuals should emerge before the peak of the flood season, (2) optimal body size at emergence should decline as flood probability increases, and (3) a second decline in body size at emergence should occur as the reproductive season ends. These predictions were tested with data on body mass at and timing of emergence of the caddisfly Phylloicus aeneus measured in three montane Chihuahuan Desert (Arizona, USA) streams over two years. P. aeneus that had not reached the adult stage were eliminated from site-years that experienced flash floods, suggesting that timing of emergence is an important fitness component. On average 86% of emergence occurred before the long-term (similar to100 yr) mean arrival date of the first seasonal flood, supporting prediction 1. The presence of two consecutive declines in body mass at emergence in most site-years was congruent with predictions 2 and 3. To test whether the two declines were associated with increasing flood probability and end of the reproductive season, respectively, maximum-likelihood methods were used to compare five body-size models: a null model that contains no parameters related to flood regime or reproductive season, a seasonal model that incorporates a reproductive time constraint, and three disturbance models that incorporate both reproductive time constraints and flood dynamics. The disturbance models outperformed the other models, suggesting that at least some of the body-mass pattern was influenced by flood dynamics. The timing of the first flood of the season was the most important determinant of observed emergence patterns. Overall, this study demonstrates that aquatic insects can compensate for flash floods by using state-dependent emergence strategies that are synchronized with long-term flood dynamics.",ECOLOGY,83,2,,370,385,,,,,,,,0012-9658,,WOS:000173538800008
Fish,2002,"Magalhaes, MF; Batalha, DC; Collares-Pereira, MJ",Gradients in stream fish assemblages across a Mediterranean landscape: contributions of environmental factors and spatial structure,"1. Despite wide recognition that fish assemblages are influenced by factors operating over a range of spatial scales, little effort has been devoted to quantifying large-scale variation and the multiscale dependencies of assemblage patterns and processes. This is particularly true for Mediterranean streams, where seasonally predictable drying-up may lead to a strong association between assemblage attributes and large-scale factors affecting the distribution of population sources and extinction likelihood.2. The contribution of large-scale factors to stream fish assemblage variation was quantified across a Mediterranean landscape, in south-west Portugal. Fish abundance and species composition were estimated at 166 sites across third- to sixth-order streams, in March-July 1998. Variance partitioning by redundancy analyses was used to analyse assemblage variation against three sets of predictor variables: environmental (catchment position, and geomorphic and hydrological factors), large-scale spatial trends and neighbourhood effects.3. Environmental variables and spatial trends accounted for 34.6% of the assemblage variation across the entire region, and for 36.6 and 57.8% within the two largest catchments (Mira and Seixe). Neighbourhood effects were analysed at the catchment scale, increasing the explained variation to 56.1% (Mira) and 70.7% (Seixe).4. A prevailing environmental gradient was reflected in an increase in the abundance of all species and size-classes in relation to catchment position, with more fish present in larger streams and in downstream reaches. Variables describing geomorphic and hydrological settings were less important in explaining assemblage variation.5. Spatial trends always accounted for the smallest fraction of assemblage variation, and they were probably associated with historical barriers to fish dispersal. The strong neighbourhood effects may be related to spatially autocorrelated habitat conditions, but they are also a likely consequence of fish emigration/extinction and colonisation processes.6. These results emphasise that a substantial proportion of fish assemblage variation in Mediterranean streams may be explained by large-scale factors, irrespective of microhabitats and local biotic interactions. It is suggested that this pattern results to a large extent from the seasonal drying-up, with the summer shortage of surface water limiting fish occurrence in headwaters, and consequently the key core areas for fish concentrating in larger streams and tributaries adjacent to large streams because of neighbourhood effects.",FRESHWATER BIOLOGY,47,5,,1015,1031,,10.1046/j.1365-2427.2002.00830.x,,,,,,0046-5070,,WOS:000175251100009
Fish,2002,"Magalhaes, MF; Beja, P; Canas, C; Collares-Pereira, MJ",Functional heterogeneity of dry-season fish refugia across a Mediterranean catchment: the role of habitat and predation,"1. Fish in Mediterranean streams survive through the summer in residual surface waters, encompassing a broad range of abiotic and biotic conditions. Yet, the extent to which fish assemblages may be shaped by functional heterogeneity in dry-season refugia is largely unknown. This study addresses this issue, by examining fish assemblage and population attributes, and predation patterns in residual summer habitats (12 pools and six runs) across a Mediterranean catchment in south-west Portugal.2. Species richness was fairly constant among runs but increased with pool size, with the addition of exotics and rare natives to large pools resulting in nested subsets. The four most common species (chub, nase, loach and eel) were considered generalists in terms of their use of dry-season refugia. Conversely, rare species presented more specialised habitats, with barbel and exotics favouring pools and stickleback favouring runs.3. Age and size of the two most common species varied among dry-season habitats. Age 0 chub were restricted to runs, where spawning stages (age 2 and older fish) were also more represented. Age 0 nase also concentrated in runs, but the individuals collected in pools exhibited greater growth. Conversely, age 2 and older nase were proportionally more abundant in pools, but with greater growth and better condition in runs.4. The otter was the main fish predator, consuming fish of all species and size classes, irrespective of habitat. Otter activity concentrated in pools, where predation risk for cyprinids seemed to be much higher than in runs.5. Dry-season refugia apparently vary in functional importance for different fish species and life stages, acting as complementary units in the landscape. Therefore, the presence of both pool and run refugia trough the summer dry season may play a critical role in promoting the persistence of native species in Mediterranean streams.",FRESHWATER BIOLOGY,47,10,,1919,1934,,10.1046/j.1365-2427.2002.00941.x,,,,,,0046-5070,,WOS:000178347100010
Assessment,2002,"Moliere, DR; Boggs, GS; Evans, KG; Saynor, MJ","Hydrological response of Ngarradj - a seasonal stream in the wet-dry tropics, Northern Territory, Australia","As part of a long-term study of the impact of mining at Jabiluka on the Ngarradj catchment, an attempt has been made to estimate the baseline hydrological characteristics of the catchment. General diurnal trends and analysis of high magnitude storm events at the Ngarradj catchment during the three-year monitoring period (1998-2001) show that peak rainfall and runoff occur late in the afternoon to early in the morning. The average time taken from the start of low frequency, very intense rainfall periods to peak runoff at streamgauging stations within Ngarradj catchment ranged between 45 min and 5.2 h. These lag times were examined in relation to the hydrological and geomorphological characteristics of the catchment. The understanding of these hydrological responses has important implications for the design of an effective stream sediment monitoring regime within the Ngarradj catchment.","STRUCTURE, FUNCTION AND MANAGEMENT IMPLICATIONS OF FLUVIAL SEDIMENTARY SYSTEMS",,276,,281,288,,,,"Symposium on the Structure, Function and Management Implications of Fluvial Sedimentary Systems","SEP 02-06, 2002","IAHS, Int Commiss Continental Eros; UNESCO, Int Hydrol Programme","ALICE SPRINGS, AUSTRALIA",0144-7815,1-901502-96-1,WOS:000185215200032
Biogeochemistry,2002,"Mulholland, PJ; Tank, JL; Webster, JR; Bowden, WB; Dodds, WK; Gregory, SV; Grimm, NB; Hamilton, SK; Johnson, SL; Marti, E; McDowell, WH; Merriam, JL; Meyer, JL; Peterson, BJ; Valett, HM; Wollheim, WM",Can uptake length in streams be determined by nutrient addition experiments? Results from an interbiome comparison study,"Nutrient uptake length is an important parameter for quantifying nutrient cycling in streams. Although nutrient tracer additions are the preferred method for measuring uptake length under ambient nutrient concentrations, short-term nutrient addition experiments have more frequently been used to estimate uptake length in streams. Theoretical analysis of the relationship between uptake length determined by nutrient addition experiments (S-w') and uptake length determined by tracer additions (S-w) predicted that S-w' should be consistently longer than S-w, and that the overestimate of uptake length by S-w' should be related to the level of nutrient addition above ambient concentrations and the degree of nutrient limitation. To test these predictions, we used data from an interbiome study of NH4+ uptake length in which (NH4+)-N-15 tracer and short-term NH4+ addition experiments were performed in 10 streams using a uniform experimental approach. The experimental results largely confirmed the theoretical predictions: S-W' was consistently longer than S,a, and S,,':S,, ratios were directly related to the level of NH4+ addition and to indicators of N limitation. The experimentally derived S-w':S-w ratios were used with the theoretical results to infer the N limitation status of each stream. Together, the theoretical and experimental results showed that tracer experiments should be used whenever possible to determine nutrient uptake length in streams. Nutrient addition experiments may be useful for comparing uptake lengths between different streams or different times in the same stream, however, provided that nutrient additions are kept as low as possible and of similar magnitude.",JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,21,4,,544,560,,10.2307/1468429,,,,,,0887-3593,,WOS:000179505500003
Assessment,2002,"Nimmo, JR; Deason, JA; Izbicki, JA; Martin, P",Evaluation of unsaturated zone water fluxes in heterogeneous alluvium at a Mojave Basin Site,"[1] Vertical and horizontal water fluxes in the unsaturated zone near intermittent streams critically affect ecosystems, water supply, and contaminant transport in arid and semiarid regions. The subsurface near the Oro Grande Wash is typical in having great textural diversity, pronounced layer contrasts, and extremely low hydraulic conductivities associated with nearly dry media. These features prevent a straightforward application of the Darcian method for recharge estimation, which has provided high-quality flux estimates at simpler, wetter sites. We have augmented the basic Darcian method with theoretical developments such that a small number of core sample unsaturated hydraulic property measurements, combined with additional, easily obtained data (e. g., drillers' logs) can provide useful flux estimates and knowledge of two-dimensional water behavior beneath the wash.",WATER RESOURCES RESEARCH,38,10,,,,1215,10.1029/2001WR000735,,,,,,0043-1397,,WOS:000180521100033
Fish,2002,"Oliva-Paterna, FJ; Torralva, MM; Fernandez-Delgado, C","Age, growth and reproduction of Cobitis paludica in a seasonal stream","In the Iberian endemic leach Cobitis paludica, in a small seasonal tributary of the Guadalquivir River, 65-70% of the total growth in length occurred in the first year of life. The maximum ages observed were 3+ years in males and 4+ years in females. Both sexes matured at the beginning of their second year of life. There was a significant difference from 1 : 1 in the overall sex ratio of 412 males to 674 females. Spawning began in late March and ended in July. Cobitis paludica is a multiple spawner that releases a minimum of two batches of eggs per female each year. Once spawning had started, however, there was no recruitment from the stock of transparent oocytes to the mature stock. The number of eggs decreased from the first batch to the second, but there was no significant difference in the mean egg diameter between batches. Compared with other populations of this species, the present population, from a low latitude, is characterized by a low number of age groups, fast growth, early maturity and high fecundity in multiple spawnings. These life-history characteristics are typical of species in unstable environments, where adult mortality is high, variable or unpredictable. (C) 2002 The Fisheries Society of the British Isles.",JOURNAL OF FISH BIOLOGY,60,2,,389,404,,10.1006/jfbi.2001.1851,,,,,,0022-1112,,WOS:000174505100010
Invertebrate,2002,"Osborne, TZ; Chapman, LJ; Chapman, CA; Crisman, TL; Prenger, JP; Nyguen, S; Stecker, E",Invertebrate community structure and oxygen availability in an intermittent stream/wetland/river system of the Ugandan highlands,,"INTERNATIONAL ASSOCIATION OF THEORETICAL AND APPLIED LIMNOLOGY, VOL 27, PT 6, PROCEEDINGS",27,,,3599,3603,,,,27th Congress of the International-Association-of-Theoretical-and-Applied-Limnology,1998,Int Assoc Theoret & Appl Limnol,"DUBLIN, IRELAND",0368-0770,3-510-54057-3,WOS:000175705100068
Fish,2002,"Ostrand, KG; Wilde, GR",Seasonal and spatial variation in a prairie stream-fish assemblage,"Stream-fish assemblage and environmental data for 13 sites in the upper Brazos River, Texas, USA during 1997 and 1998 were used to assess the relationship between environmental conditions, and seasonal and spatial variation in fish species abundance and distribution patterns. There was considerable spatial variation in environmental conditions among sites. Spatial variation in species diversity and species composition was related to variation in conductance (salinity), depth and current velocity among sites and streams. Species diversity increased downstream and species composition shifted from primarily cyprinodontids upstream to cyprinids downstream. Among all dominant species, spatial components of variation in fish abundance were greater than seasonal components, suggesting that assemblage structure is determined more by average or persistent differences in environmental conditions among sites than by seasonal variation in environmental conditions.",ECOLOGY OF FRESHWATER FISH,11,3,,137,149,,10.1034/j.1600-0633.2002.00005.x,,,,,,0906-6691,,WOS:000177363600001
Fish,2002,"Paugy, D",Reproductive strategies of fishes in a tropical temporary stream of the Upper Senegal basin: Baoule River in Mali,"In the tropics, there is very little information on fish reproduction in intermittent streams and most of the studies are from the neotropic regions. In temporary rivers, environmental conditions are sharply contrasted and the variation amplitude of hydrological and physicochemical characteristics is high. In the Baoule River (Mali), during the peak of the dry season, the remaining pools comprise only 10% of the total length of the river. During the wet season, there is a short (three months) but intense period of flooding. In this study, the reproductive strategies of 18 species of fishes were investigated in the upper reach of the Baoule drainage. They belong to eight families, show variation in feeding guilds, and vary in size and habitat preferences. Fishes were collected from February 1985 to November 1988 using gillnets. Two main types of spawning strategies may be distinguished among these species. The first, the 'total spawners', have generally a short annual spawning period just before the flood. The second, the 'small-brood spawners', produce small batches of eggs at frequent intervals for most of the year. Most of the species inhabiting the Baoule River exhibit a breeding strategy in relation to the flood seasonality. This type of strategy, common in harsh but predictable environments, favours a synchronous reproduction in phase with the optimal environmental conditions and the production of large number of juveniles that require no parental care. Concerning the Baoule River, 12 variables related to life-history theory were measured for 18 species. Clustering of these species based on Euclidean distances resulted in two groups. The first corresponds to developed parental care, large oocytes and low fecundity (about a hundred eggs). Two species, Chrysichthys auratus and Sarotherodon galilaeus, belong to this 'equilibrium strategy'. Others species have a 'seasonal strategy', which is adapted to the harsh local conditions. In the Nilo-Sudanian area, most fishes appeared to be associated with a seasonal life history strategy that exploits an annual expansion of aquatic production. In the Baoule River, the 'seasonal strategy' is characterised by high fecundity, absence of parental care, limited breeding season and for some species large adult size and upstream spawning migrations to floodplains. (C) 2002 Ifremer/CNRS/Inra/Cemagref/Editions scientifiques et medicales Elsevier SAS. All rights reserved.",AQUATIC LIVING RESOURCES,15,1,,25,35,PII S0990-7440(01)01144-5,10.1016/S0990-7440(01)01144-5,,,,,,0990-7440,,WOS:000174837000003
Assessment,2002,"Porto, RL; Porto, MFA",Planning as a tool to deal with extreme events - The new Brazilian Water Resources Management System,"This paper describes the recent changes in the Water Resources Management System of Brazil and its proposed approach on how to be more effective when dealing with extreme events. The geographic extent of the country, its regional differences, and the difficult economic conditions lead to a comprehensive reform in the water resources sector in order to increase efficiency of the water uses, to reduce costs, and to promote development. The major change occurred in 1997, with the promulgation of the National Water Resources Management Act, which established the National Water Resources Policy and the National Water Resources Management System. A primary strength of the new system is its decentralization. Different geographical regions of the country must cope with different extreme events. The developed South suffers with frequent flood events due to large urbanized areas and impervious floodplain areas and with water scarcity due to excessive use. The rural Northeast is frequently devastated by severe drought periods with consequences such as migration and poverty. In both cases, the decentralized decision process is a powerful tool to better manage such problematic areas. In fact, to help controlling extreme events is one of the major objectives of the new system, as stated in the law. In intermittent rivers of the Brazilian Northeast, participation of users associations can help finding the best water allocation scheme. When it comes to flood control, community participation in the selection of solutions is essential. Flood protection is a community, rather than individual benefit. Decision on the land use will only be accomplished with the participation of different government levels together with the community.",WATER INTERNATIONAL,27,1,,14,19,,,,,,,,0250-8060,,WOS:000175455700003
Invertebrate,2002,"Progar, RA; Moldenke, AR",Insect production from temporary and perennially flowing headwater streams in western Oregon,"To evaluate the contribution of headwater streams to the forest ecosystem of the Pacific Northwest, we used emergence traps to examine the effect of stream flow (perennial vs. dry-season temporary) on emergent aquatic insect fauna at three sites in the conifer forests of western Oregon. Total density and biomass of aquatic insects were higher in temporary streams than in perennial streams. Taxonomic richness was consistently higher in perennial streams. The number of Chironomidae exceeded those of all other taxa, during the spring, but the chironomids were largely replaced by Mycetophilidae as the most abundant taxon during the summer, especially in temporary streams. Trichoptera, and Ephemeroptera emerged in higher numbers from perennial than from temporary streams. These results are consistent with our hypothesis that the absence of vertebrate predators (fish and giant salamanders) allows the populations of arthropods in temporary streams to flourish, serving as: (1) a potential source of colonization and (2) an important role in the terrestrial food web as an abundant food source for terrestrial insectivores.",JOURNAL OF FRESHWATER ECOLOGY,17,3,,391,407,,10.1080/02705060.2002.9663913,,,,,,0270-5060,,WOS:000178017600007
Assessment,2002,"Roshier, DA; Robertson, AI; Kingsford, RT",Responses of waterbirds to flooding in an arid region of Australia and implications for conservation,"Floods are a frequent but irregular feature of Australia's dryland river catchments. We investigated changes in abundances of waterbirds in north western New South Wales with changes in wetland distribution at local, catchment and broad scales. The abundance of most functional groups of waterbirds changed in response to broad scale changes in wetland distribution, while local abundance remained highly variable. Patterns of abundance varied among functional groups of waterbirds, with some immediately responding to changes in wetland distribution and area flooded, and others apparently responding to sequences of wetting and drying. In Australia, the main conservation issue for waterbirds is water and its use across the landscape and not the spatial arrangement of any fixed array of reserves established to protect them. (C) 2002 Elsevier Science Ltd. All rights reserved.",BIOLOGICAL CONSERVATION,106,3,,399,411,PII S0006-3207(01)00268-3,10.1016/S0006-3207(01)00268-3,,,,,,0006-3207,,WOS:000176523300012
Biogeochemistry,2002,"Schade, JD; Marti, E; Welter, JR; Fisher, SG; Grimm, NB",Sources of nitrogen to the riparian zone of a desert stream: Implications for riparian vegetation and nitrogen retention,"Riparian zones effectively remove nitrogen (N) from water flowing through riparian soils, particularly in agricultural watersheds. The mechanism of N removal is still unclear, especially the role of vegetation. Uptake and denitrification are the two most commonly studied mechanisms. Retention of groundwater N by plant uptake is often inferred from measurements of N in net incremental biomass. However, this assumes other sources of N are not contributing to the N demand of plants. The purpose of this work was to investigate the relative importance of three sources of available N to riparian trees in a desert stream-input in stream water during floods, input during baseflow, and mineralization of N from soil organic matter. Two approaches were used; a mass balance approach in which the mass of available N from each source was estimated, and a correlational approach in which indexes of each source were compared to leaf N for individual willow trees. Total N from all sources was 396 kg ha(-1) y(-1), with 172 kg ha(-1) y(-1) from mineralization, 214 kg ha(-1) y(-1) from the stream during baseflow, and 9.6 kg ha(-1) y(-1) from floods. Leaf N was significantly related to N mineralization rates and flood inputs; it was not related to baseflow inputs. We conclude that mineralization is a major source of available N for willow trees, subsidized by input of N from floods. Baseflow inputs are most likely removed by rapid denitrification at the stream-riparian edge, while higher rates of flood supply exceed the capacity of this ""filter.""",ECOSYSTEMS,5,1,,68,79,,10.1007/s10021-001-0056-6,,,,,,1432-9840,,WOS:000175429300006
Invertebrate,2002,"Sheldon, F; Boulton, AJ; Puckridge, JT","Conservation value of variable connectivity: aquatic invertebrate assemblages of channel and floodplain habitats of a central Australian arid-zone river, Cooper Creek","Rapidly expanding water resource development in arid and semi-arid zones of Australia threatens the flow regime and ecological integrity of the few large dryland rivers and their immense floodplains. Efforts to manage and conserve the surface waters of these rivers are hampered by limited scientific data on the ecology of their flora and fauna and on their responses to the high natural variability of flow regime that typifies dryland rivers. Irregular floods connect channel and floodplain wetlands to differing degrees and for varying periods of time but the ecological significance of this connectivity is poorly understood. On Cooper Creek, a large dryland river in central Australia. we explored the degree to which assemblage composition varied with connectivity and hydrological regime. Shortly after protracted regional flooding, we sampled aquatic macroinvertebrate assemblages from the principal microhabitats in 12 channel and floodplain wetlands. Ephemeral and temporary lakes tended to have fewer taxa than semi-permanent channel or terminal lake habitats. Although hydrological connection had only recently been lost for some wetlands, there was already evidence of divergence in aquatic macroinvertebrate assemblage composition. Disruption of the natural variability in connectivity and hydrological regime by excessive water abstraction or river-flow regulation threatens the ecological integrity and aquatic macroinvertebrate biodiversity of dryland rivers. Preservation of the irregular flow regime and sporadic connectivity underpins conservation of the mosaic of floodplain wetlands that play such a crucial role in the ecosystem functioning of rivers such as Cooper Creek. (C) 2001 Elsevier Science Ltd. All rights reserved.",BIOLOGICAL CONSERVATION,103,1,,13,31,,10.1016/S0006-3207(01)00111-2,,,,,,0006-3207,,WOS:000172057300002
"Invertebrate, Biogeochemistry",2002,"Stagliano, DM; Whiles, MR",Macroinvertebrate production and trophic structure in a tallgrass prairie headwater stream,"Research on North American prairie stream communities has lagged behind other regions. We examined the ecosystem significance of the macroinvertebrate community of riffle/run habitats in Kings Creek, a 2(nd)-order tallgrass prairie stream at Konza Prairie Biological Station (Kansas, USA), by estimating secondary production, benthic organic matter standing stocks, and resource consumption and egestion by functional groups. Annual mean standing stock macroinvertebrate biomass was 2.3 g ash-free dry mass (AFDM)/m(2), annual production was 19.7 a AFDM m(-2) y(-1), and the annual community production/biomass (P/B) ratio was 8.6. Macroinvertebrate production was higher than published estimates for forested streams of similar size, but much lower than that of a Sonoran desert stream. Distribution of production among functional groups was 30% for collector-gatherers, 9% for collector-filterers, 20% for scrapers, 23% for shredders, and 18% for predators, resembling estimates from some forested streams with the exception of higher scraper production. Although detritivorous groups were productive in this prairie stream, they appeared food limited. Consumption estimates indicated shredders and collector-gatherers annually ingested similar to80% and similar to240% of coarse particulate organic matter (CPOM) and fine particulate organic matter (FPOM) standing stocks, respectively. Thus, re-ingestion and/or diet shifts may be common, particularly among collector-gatherers, and the FPOM pool must turn over rapidly. Invertebrate predators also consumed a sizeable portion (similar to52%) of prey, whereas scrapers (similar to21%) and filterers (<1%) consumed relatively small portions of their respective resources, suggesting top-down influences on these groups. This study indicates that, during a period of relatively stable flow in this prairie stream, macroinvertebrate production and functional structure were roughly intermediate between North American forested and desert systems. Our results underscore the value of secondary production estimates for examining invertebrate communities in an ecosystem context.",JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,21,1,,97,113,,10.2307/1468303,,,,,,0887-3593,,WOS:000174134600010
Assessment,2002,"Thoms, MC; Sheldon, F",An ecosystem approach for determining environmental water allocations in Australian dryland river systems: the role of geomorphology,"The allocation of water for environmental purposes is a key management issue in many dryland regions, Many different methods have been developed for determining environmental water requirements but these are not directly applicable to dryland rivers because of inherent flow and habitat variability. An ecosystem approach for determining environmental water allocations in dryland regions is presented in this paper. This four-step process involves (1) a hierarchical characterisation of the river system, to assess what mesohabitats are present and where they are located; (2) the determination of flows that would inundate these habitats and perform other key ecological processes; (3) hydrological analyses in which the key hydrological signatures of the river are identified and the impact of water resource development on these is determined and (4) the derivation of a water management decision tree that enables managers to allocate water to consumptive users during individual flood pulses (events). It is recommended that the flood pulse should be the focus for environmental flow management in dryland regions. If rivers are indeed nested hierarchies, then a change in hydrological behaviour at the scale of a flood pulse will, with time, extend throughout the hydrological hierarchy. Current environmental flow management strategies in dryland river systems are essentially focused at the flow regime and history scale; this is inappropriate given the inherent flow variability of these systems. The ecosystem approach is outlined for the Condamine-Balonne River, a large dryland system in Australia. (C) 2002 Elsevier Science B.V. All rights reserved.",GEOMORPHOLOGY,47,41731,,153,168,PII S0169-555X(02)00085-5,10.1016/S0169-555X(02)00085-5,,30th Annual Binghamton Geomorphology Symposium,"NOV 12-14, 1999",,"BINGHAMTON, NY",0169-555X,,WOS:000178167200005
Assessment,2002,"Touabay, M; Aouad, N; Mathieu, J",Hydrobiological study of a river from the Moyen-Atlas : the Tizguit wadi (Morocco),"The aim of this study is to gain a better understanding of the water quality and the benthic macrofauna of Moroccan rivers from the Moyen-Atlas, The Tizguit wadi was chosen for its accessibility and its environmental variability. Eight physical and chemical factors were measured and the fauna inventory was made at I I sites during an hydrological cycle.The results showed that changes occurred along an upstream-downstream gradient.The number of sampled taxa was 167 belonging to different groups, where Coleoptera were dominant. The distribution of this fauna depends mainly on the environmental factors, and the originality of its composition depends on the water quality.",ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,38,1,,65,80,,10.1051/limn/2002007,,,,,,0003-4088,,WOS:000174758100007
Biogeochemistry,2002,"Uehlinger, U; Naegeli, M; Fisher, SG",A heterotrophic desert stream? The role of sediment stability,"In autumn 1998 stream metabolism was measured in the Arizona, a Sonoran Desert stream, using single-station diel oxygen curves and all oxygen was balance model. Oxygen consumption rates of para. fluvial and channel sediments were determined with respiration chamber,. Bedload of channel sediments (sand) prevented significant primary production by benthic autotrophs, despite favorable nutrient, light, and temperature conditions. Ecosystem respiration was relatively low (1.50 g O-2 m(-2)d(-1)) and presumably fueled by production ill the riparian zone and riverine marshes. Respiration rates in the parafluvial zone and in channel sediments ranged from 0.6 to 1.4 g O-2 m(-3) sediment h(-1). Sediment organic matter (ash-free dry mass) was 4.0 +/- 1.8 kg m(-3) sediment and did not significantly differ between the channel and the parafluvial zone. Results indicate that heterotrophic processes may dominate the metabolism of desert stream segments over extended periods of time if unstable sandy bed sediments prevail.",WESTERN NORTH AMERICAN NATURALIST,62,4,,466,473,,,,,,,,1527-0904; 1944-8341,,WOS:000179133800008
